,document,topic,distr
0,1996\10_main_body.txt,0,"[9.99999997e-01 2.79065309e-81 3.21260084e-81 2.94876667e-81
 2.85148467e-81 3.15436857e-81 3.67127326e-81 3.34712049e-81
 3.29645954e-81 3.16564996e-81 3.02213423e-81 2.17037733e-81]"
1,1996\11_main_body.txt,0,"[9.99999704e-01 2.48088282e-08 2.88255001e-08 2.57744349e-08
 2.49889384e-08 2.77658291e-08 3.35433398e-08 2.90603960e-08
 2.86927030e-08 2.83237905e-08 2.65896427e-08 1.45371204e-08]"
2,1996\12_main_body.txt,0,"[9.99999996e-01 1.16961849e-15 1.33586737e-15 1.16780260e-15
 1.18817212e-15 1.43586323e-15 1.46481512e-15 1.28749957e-15
 1.39870031e-15 1.36868932e-15 1.18854631e-15 4.31429310e-16]"
3,1996\13_main_body.txt,-1,"[7.09146709e-02 6.49885757e-02 1.38511387e-01 5.52477474e-02
 5.32658341e-02 6.40123531e-02 8.65435522e-02 6.06840314e-02
 6.27104134e-02 1.06643971e-01 6.32100678e-02 4.80141097e-67]"
4,1996\14_main_body.txt,6,"[0.02951874 0.03072491 0.05048431 0.02904926 0.02742668 0.03211027
 0.08018541 0.03242926 0.03265999 0.0421761  0.03221788 0.02043962]"
5,1996\15_main_body.txt,0,"[9.96442432e-001 5.49561168e-240 6.68110085e-240 5.25005705e-240
 5.31065613e-240 6.50384876e-240 7.69960938e-240 5.76502995e-240
 6.17242152e-240 6.80083005e-240 5.46975437e-240 6.47666014e-242]"
6,1996\16_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,1996\17_main_body.txt,0,"[9.99999997e-01 7.34630433e-39 8.36605200e-39 7.84350705e-39
 7.58742995e-39 8.41755600e-39 9.41449403e-39 8.97960791e-39
 8.88182555e-39 8.28906890e-39 7.98687612e-39 4.39541804e-39]"
8,1996\18_main_body.txt,0,"[9.97605265e-01 1.96701496e-04 2.29887540e-04 2.02761841e-04
 1.97278705e-04 2.20469580e-04 2.70371119e-04 2.27441573e-04
 2.25671539e-04 2.25869260e-04 2.09671007e-04 1.88608852e-04]"
9,1996\19_main_body.txt,-1,"[1.62648333e-01 5.62775971e-02 6.44441219e-02 5.95674142e-02
 5.81282565e-02 6.58015398e-02 7.29076326e-02 6.79693690e-02
 6.88259108e-02 6.42179926e-02 6.05720013e-02 1.38853819e-15]"
10,1996\21_main_body.txt,0,"[9.99999996e-01 7.19817284e-18 8.47980990e-18 7.21348248e-18
 7.24073017e-18 8.65252132e-18 9.66839590e-18 7.93469720e-18
 8.48628255e-18 8.56581232e-18 7.36635885e-18 2.54372183e-18]"
11,1996\22_main_body.txt,0,"[6.87739226e-01 1.57511665e-02 1.83229783e-02 1.63308969e-02
 1.59402933e-02 1.79825859e-02 2.12250962e-02 1.85866868e-02
 1.85299998e-02 1.81518623e-02 1.68448477e-02 1.63504012e-04]"
12,1996\23_main_body.txt,0,"[9.99999996e-01 1.10905515e-52 1.26431882e-52 1.07457813e-52
 1.10778897e-52 1.35440814e-52 1.38459770e-52 1.16648435e-52
 1.27635261e-52 1.30704777e-52 1.09410484e-52 4.06556222e-53]"
13,1996\24_main_body.txt,0,"[9.97481859e-01 2.06699679e-04 2.40958104e-04 2.13740651e-04
 2.07228518e-04 2.31249734e-04 2.79941023e-04 2.42926641e-04
 2.39481735e-04 2.36872553e-04 2.21578658e-04 1.97460535e-04]"
14,1996\25_main_body.txt,0,"[8.94615096e-01 2.71162319e-04 3.34129314e-04 2.84807142e-04
 2.76016075e-04 3.38579353e-04 3.42481893e-04 3.31120523e-04
 3.57769278e-04 3.35810255e-04 2.97539536e-04 3.05716075e-06]"
15,1996\26_main_body.txt,-1,"[1.07100252e-01 5.87435874e-02 8.20302675e-02 6.09769022e-02
 5.72504494e-02 6.81580147e-02 8.91816172e-02 6.73805362e-02
 7.10377387e-02 7.68523121e-02 6.37479208e-02 2.87111974e-16]"
16,1996\27_main_body.txt,0,"[9.54458501e-01 5.22628684e-15 6.34015589e-15 5.06900920e-15
 5.11390155e-15 6.24608076e-15 7.30417320e-15 5.56718359e-15
 5.97569744e-15 6.43673846e-15 5.25037575e-15 6.13764339e-17]"
17,1996\28_main_body.txt,0,"[9.99999998e-01 3.00940977e-14 3.52647364e-14 3.08449084e-14
 2.99162231e-14 3.34152754e-14 4.14325230e-14 3.48700644e-14
 3.44198886e-14 3.45623442e-14 3.20564360e-14 2.84904972e-14]"
18,1996\30_main_body.txt,0,"[9.99999914e-01 7.09898676e-09 8.41498523e-09 7.22781954e-09
 7.04642909e-09 7.97368611e-09 1.00433588e-08 8.15579219e-09
 8.11602202e-09 8.26487051e-09 7.53674585e-09 2.06842427e-09]"
19,1996\31_main_body.txt,-1,"[9.10363259e-02 5.73508993e-02 7.76025476e-02 6.26893512e-02
 5.68890493e-02 6.46388901e-02 7.94517623e-02 6.88856266e-02
 7.13698246e-02 7.13661751e-02 6.48004605e-02 1.89130436e-05]"
20,1996\35_main_body.txt,0,"[8.23259553e-01 4.77373970e-03 5.52696198e-03 4.90189310e-03
 4.87359395e-03 5.73855797e-03 6.22556255e-03 5.60039460e-03
 5.84656892e-03 5.58590610e-03 5.02613264e-03 5.56577919e-05]"
