,document,topic,distr
0,1996\10_main_body.txt,0,"[5.2092910e-01 3.2582842e-02 3.0846679e-01 7.9276993e-05 7.9276993e-05
 3.7339464e-02 7.9276993e-05 7.9276993e-05 3.8925003e-02 7.9276993e-05
 1.1178056e-02 7.9276993e-05 5.0023779e-02 7.9276993e-05]"
1,1996\11_main_body.txt,0,"[0.35456887 0.0006435  0.12934364 0.0006435  0.0006435  0.2001287
 0.0006435  0.0006435  0.20656371 0.0006435  0.02638353 0.0006435
 0.07142857 0.00707851]"
2,1996\12_main_body.txt,2,"[1.6253847e-01 2.6070837e-02 5.2382267e-01 3.9441511e-05 3.7114460e-02
 8.4444277e-02 3.9441511e-05 3.9441511e-05 4.0664196e-02 5.2102238e-02
 1.0294234e-02 3.1947624e-03 1.9760195e-02 3.9875366e-02]"
3,1996\13_main_body.txt,8,"[9.5343450e-03 1.9284661e-01 7.2745472e-02 6.3737887e-03 5.2675940e-05
 6.2210280e-02 4.7935103e-03 3.3238515e-02 5.3102612e-01 5.2675940e-05
 5.2675940e-05 5.2675940e-05 1.4275179e-02 7.2745472e-02]"
4,1996\14_main_body.txt,2,"[0.19812253 0.0993083  0.34140316 0.00049407 0.00049407 0.00049407
 0.08448617 0.01037549 0.11413044 0.00049407 0.00049407 0.00049407
 0.06966404 0.07954546]"
5,1996\15_main_body.txt,13,"[2.0824265e-01 1.8974165e-02 8.9476682e-02 7.1448856e-03 4.7317124e-05
 8.8057168e-02 4.7317124e-05 4.7317124e-05 2.4089147e-01 6.0140062e-02
 1.0457084e-02 4.7317124e-05 7.1448856e-03 2.6928172e-01]"
6,1996\16_main_body.txt,0,"[6.4341962e-01 1.8890845e-02 2.5592696e-02 4.1886575e-05 6.3248728e-03
 2.2916143e-01 4.1886575e-05 8.7961799e-04 4.0252995e-02 9.6757989e-03
 1.3445590e-02 4.1886575e-05 4.6075232e-04 1.1770127e-02]"
7,1996\17_main_body.txt,0,"[4.4205350e-01 1.7505552e-01 1.2800042e-01 5.2870888e-05 3.9706036e-02
 1.1161045e-01 2.6964152e-03 5.2870888e-05 7.3543407e-02 5.2870888e-05
 5.8686687e-03 6.3973777e-03 1.4856720e-02 5.2870888e-05]"
8,1996\18_main_body.txt,0,"[4.58945155e-01 3.79955918e-02 7.83773884e-02 6.11845317e-05
 6.11845317e-05 2.72332340e-01 6.11845317e-05 1.29099367e-02
 1.05298586e-01 5.56779280e-03 8.01517349e-03 3.73225636e-03
 6.79148315e-03 9.85070970e-03]"
9,1996\19_main_body.txt,2,"[6.4876083e-05 8.5052550e-02 4.1462305e-01 3.3086804e-03 6.4876083e-05
 6.4876083e-05 3.9574411e-03 6.4876083e-05 2.0896588e-01 1.3040094e-02
 6.4876083e-05 6.4876083e-05 7.2012460e-03 2.6346180e-01]"
