,Topic,Words,Scores
0,Topic -1,gene set using genes used ,0.01 0.01 0.01 0.01 0.01 
1,Topic 0,protein set gene sequence proteins ,0.02 0.01 0.01 0.01 0.01 
2,Topic 1,cancer mutations genes gene cell ,0.03 0.02 0.02 0.02 0.02 
3,Topic 2,snp snps plo type gene ,0.03 0.03 0.02 0.02 0.02 
4,Topic 3,drug features disease using age ,0.02 0.01 0.01 0.01 0.01 
5,Topic 4,patient patients clinical medical health ,0.03 0.02 0.02 0.01 0.01 
6,Topic 5,gene bio clinical disease form ,0.01 0.01 0.01 0.01 0.01 
7,Topic 6,tree trees taxa phylogenetic sequences ,0.08 0.03 0.03 0.02 0.02 
8,Topic 7,mri tax exchange reactions csp ,0.02 0.02 0.02 0.02 0.02 
9,Topic 8,drug drugs similarity disease target ,0.07 0.04 0.03 0.02 0.02 
10,Topic 9,cell cells expression gene genes ,0.06 0.04 0.02 0.02 0.02 
11,Topic 10,hiv cov virus lymph tissue ,0.02 0.02 0.02 0.01 0.01 
12,Topic 11,rac rrna communities coa meta ,0.03 0.03 0.03 0.02 0.02 
