,Topic,Word,Score
0,Topic 0,protein,0.031004247226107787
1,Topic 0,proteins,0.02377164809398556
2,Topic 0,structure,0.02019935763562679
3,Topic 0,residues,0.01729326455757518
4,Topic 0,sequence,0.01585581227779935
5,Topic 0,structures,0.01490222295891015
6,Topic 0,binding,0.013725896721109566
7,Topic 0,set,0.013687136741233771
8,Topic 0,function,0.012566353336604968
9,Topic 0,two,0.012060808129857941
10,Topic 0,using,0.011648077772192159
11,Topic 0,residue,0.011310300738099674
12,Topic 0,energy,0.011241438344814007
13,Topic 0,one,0.011227519450238125
14,Topic 0,amino,0.011128051244276837
15,Topic 0,number,0.011016457375753606
16,Topic 0,used,0.011009624155219484
17,Topic 0,structural,0.010282456031721798
18,Topic 0,prediction,0.010107560441072846
19,Topic 0,based,0.009396560109459693
20,Topic 0,methods,0.009321137222830103
21,Topic 0,conformation,0.009173133606500768
22,Topic 0,site,0.008964253081484755
23,Topic 0,chain,0.008951705178704797
24,Topic 0,disordered,0.00853076212412668
25,Topic 0,also,0.008171695493500566
26,Topic 0,points,0.00811464135262968
27,Topic 0,surface,0.008098531770129288
28,Topic 0,similarity,0.007879237867741702
29,Topic 0,distance,0.007799916681153699
30,Topic 0,order,0.007735630017762987
31,Topic 0,interactions,0.007728678222804859
32,Topic 0,score,0.007697219059928201
33,Topic 0,point,0.007687361961256878
34,Topic 0,regions,0.00767318933641761
35,Topic 0,table,0.007603513259293497
36,Topic 0,sites,0.00742822290128206
37,Topic 0,molecular,0.007418113833104653
38,Topic 0,different,0.00740174700871111
39,Topic 0,atoms,0.007261276040874466
40,Topic 0,sequences,0.007251988589058942
41,Topic 0,conformations,0.007165039774702697
42,Topic 0,that,0.007085360165126715
43,Topic 0,fold,0.007000116583593036
44,Topic 0,are,0.006937441455549372
45,Topic 0,class,0.006916991624696457
46,Topic 0,disorder,0.006826954305932851
47,Topic 0,shown,0.006778185772994916
48,Topic 0,alignment,0.006777348906111224
49,Topic 0,similar,0.006770959203756986
50,Topic 1,snps,0.028896331172013595
51,Topic 1,snp,0.027498396139227766
52,Topic 1,disease,0.01792551162217461
53,Topic 1,genetic,0.01698235857346287
54,Topic 1,population,0.01619207633682259
55,Topic 1,plo,0.015290278228748967
56,Topic 1,association,0.01508822485456826
57,Topic 1,gene,0.014903790418686638
58,Topic 1,genotype,0.014327509623363634
59,Topic 1,allele,0.014238204451986092
60,Topic 1,using,0.013285932693591173
61,Topic 1,variants,0.013221733507146928
62,Topic 1,number,0.012897761459723918
63,Topic 1,type,0.0123924464159924
