,Topic,Type,Word,Score,Lambda
0,Topic 0,Probability,cell,0.026023223996162415,
1,Topic 0,Probability,cancer,0.024108193814754486,
2,Topic 0,Probability,samples,0.012866247445344925,
3,Topic 0,Probability,pathway,0.011320036835968494,
4,Topic 0,Probability,cells,0.010305779054760933,
5,Topic 0,Probability,tumor,0.01000079233199358,
6,Topic 0,Probability,sub,0.009610692970454693,
7,Topic 0,Probability,pathways,0.0092844283208251,
8,Topic 0,Probability,types,0.008298542350530624,
9,Topic 0,Probability,specific,0.007071502972394228,
10,Topic 0,Probability,patients,0.006504086311906576,
11,Topic 0,Probability,graph,0.006312583107501268,
12,Topic 0,Probability,node,0.00595085509121418,
13,Topic 0,Probability,survival,0.005837371572852135,
14,Topic 0,Probability,ation,0.005730981007218361,
15,Topic 0,Probability,across,0.005709702614694834,
16,Topic 0,Probability,networks,0.005326696205884218,
17,Topic 0,Probability,tissue,0.005170656833797693,
18,Topic 0,Probability,edges,0.005149378441274166,
19,Topic 0,Probability,fig,0.005128100514411926,
20,Topic 0,Probability,differential,0.004915319383144379,
21,Topic 0,Probability,type,0.004901133943349123,
22,Topic 0,Probability,patient,0.004659981466829777,
23,Topic 0,Probability,nodes,0.00459614722058177,
24,Topic 0,Probability,methyl,0.004454292822629213,
25,Topic 0,Relevance,kuchi,0.9666634575825838,0.
26,Topic 0,Relevance,svp,0.9666634575825838,0.
27,Topic 0,Relevance,harvesting,0.9666634575825838,0.
28,Topic 0,Relevance,dries,0.9666634575825838,0.
29,Topic 0,Relevance,allegro,0.9666634575825838,0.
30,Topic 0,Relevance,sistance,0.9666634575825838,0.
31,Topic 0,Relevance,reedy,0.9666634575825838,0.
32,Topic 0,Relevance,clasts,0.9666634575825838,0.
33,Topic 0,Relevance,aise,0.9666634575825838,0.
34,Topic 0,Relevance,beau,0.9666634575825838,0.
35,Topic 0,Relevance,foci,0.9666634575825838,0.
36,Topic 0,Relevance,ama,0.9666634575825838,0.
37,Topic 0,Relevance,curtis,0.9666634575825838,0.
38,Topic 0,Relevance,melk,0.9666634575825838,0.
39,Topic 0,Relevance,prudent,0.9666634575825838,0.
40,Topic 0,Relevance,killing,0.9666634575825838,0.
41,Topic 0,Relevance,amati,0.9666634575825838,0.
42,Topic 0,Relevance,hush,0.9666634575825838,0.
43,Topic 0,Relevance,calif,0.9666634575825838,0.
44,Topic 0,Relevance,humoral,0.9666634575825838,0.
45,Topic 0,Relevance,realignment,0.9666634575825838,0.
46,Topic 0,Relevance,geodesic,0.9666634575825838,0.
47,Topic 0,Relevance,enveloping,0.9666634575825838,0.
48,Topic 0,Relevance,splatter,0.9666634575825838,0.
49,Topic 0,Relevance,dermatological,0.9666634575825838,0.
50,Topic 0,Relevance,cancer,0.9690407083408286,0.25
51,Topic 0,Relevance,tumor,0.9548486223047815,0.25
52,Topic 0,Relevance,cell,0.9544980054230513,0.25
53,Topic 0,Relevance,survival,0.9450253408774651,0.25
54,Topic 0,Relevance,breast,0.938893942325305,0.25
55,Topic 0,Relevance,mirna,0.9387075093291888,0.25
56,Topic 0,Relevance,pathway,0.9351468996021836,0.25
57,Topic 0,Relevance,tcg,0.9351255637683265,0.25
58,Topic 0,Relevance,methyl,0.9344490077550465,0.25
59,Topic 0,Relevance,cells,0.931220538779175,0.25
60,Topic 0,Relevance,tumors,0.9309476979174005,0.25
61,Topic 0,Relevance,subtypes,0.9292889062156039,0.25
62,Topic 0,Relevance,enrichment,0.9287552164309353,0.25
63,Topic 0,Relevance,cancers,0.9281705034892749,0.25
64,Topic 0,Relevance,tissue,0.9271612069993804,0.25
65,Topic 0,Relevance,lung,0.9263864867135954,0.25
66,Topic 0,Relevance,carcinoma,0.9263149488954845,0.25
67,Topic 0,Relevance,pathways,0.9262856532390399,0.25
68,Topic 0,Relevance,differential,0.9250543946610286,0.25
69,Topic 0,Relevance,somatic,0.9249420638330241,0.25
70,Topic 0,Relevance,samples,0.924751770054285,0.25
71,Topic 0,Relevance,gfr,0.9237944530578877,0.25
72,Topic 0,Relevance,driver,0.9227791551629029,0.25
73,Topic 0,Relevance,immune,0.9220281541652089,0.25
74,Topic 0,Relevance,ovarian,0.9194742528284944,0.25
75,Topic 0,Relevance,cancer,0.9726473966472662,0.5
76,Topic 0,Relevance,cell,0.9646670378333071,0.5
77,Topic 0,Relevance,tumor,0.9421571335861589,0.5
78,Topic 0,Relevance,pathway,0.93182991051045,0.5
79,Topic 0,Relevance,samples,0.9278712534794336,0.5
80,Topic 0,Relevance,cells,0.9269517761111826,0.5
81,Topic 0,Relevance,survival,0.922733090704022,0.5
82,Topic 0,Relevance,pathways,0.9211444561057465,0.5
83,Topic 0,Relevance,sub,0.9143613766285954,0.5
84,Topic 0,Relevance,breast,0.9099070741693273,0.5
85,Topic 0,Relevance,mirna,0.9095302235024828,0.5
86,Topic 0,Relevance,methyl,0.9091753397022992,0.5
87,Topic 0,Relevance,tissue,0.9078121229789071,0.5
88,Topic 0,Relevance,tcg,0.9063467508669476,0.5
89,Topic 0,Relevance,differential,0.9051880778332898,0.5
90,Topic 0,Relevance,enrichment,0.9043333612472055,0.5
91,Topic 0,Relevance,types,0.9003357754907012,0.5
92,Topic 0,Relevance,subtypes,0.894550123778186,0.5
93,Topic 0,Relevance,node,0.8940627273642608,0.5
94,Topic 0,Relevance,tumors,0.8938445567898102,0.5
95,Topic 0,Relevance,lines,0.893750416802651,0.5
96,Topic 0,Relevance,lung,0.8922900198340069,0.5
97,Topic 0,Relevance,module,0.8920300256953468,0.5
98,Topic 0,Relevance,somatic,0.891439096716526,0.5
99,Topic 0,Relevance,immune,0.8898389276829217,0.5
100,Topic 0,Relevance,cancer,0.9697392494134497,0.75
101,Topic 0,Relevance,cell,0.9684711843292636,0.75
102,Topic 0,Relevance,samples,0.9247711037342484,0.75
103,Topic 0,Relevance,tumor,0.9229180962775074,0.75
104,Topic 0,Relevance,pathway,0.9221723414115776,0.75
105,Topic 0,Relevance,cells,0.9163614389372059,0.75
106,Topic 0,Relevance,pathways,0.9097081256003673,0.75
107,Topic 0,Relevance,sub,0.9075402810499331,0.75
108,Topic 0,Relevance,types,0.8952418550066826,0.75
109,Topic 0,Relevance,survival,0.8938839013740195,0.75
110,Topic 0,Relevance,specific,0.8827204266442324,0.75
111,Topic 0,Relevance,tissue,0.8820499283265696,0.75
112,Topic 0,Relevance,node,0.8801818300025483,0.75
113,Topic 0,Relevance,patients,0.8796461190739026,0.75
114,Topic 0,Relevance,differential,0.8789188139602258,0.75
115,Topic 0,Relevance,graph,0.8780390962360941,0.75
116,Topic 0,Relevance,methyl,0.8773926331175357,0.75
117,Topic 0,Relevance,breast,0.8743518765910822,0.75
118,Topic 0,Relevance,ation,0.8739989552944097,0.75
119,Topic 0,Relevance,mirna,0.8737843652983887,0.75
120,Topic 0,Relevance,enrichment,0.8734476320747974,0.75
121,Topic 0,Relevance,edges,0.872421991938412,0.75
122,Topic 0,Relevance,tcg,0.87102667771255,0.75
123,Topic 0,Relevance,across,0.8705762552180083,0.75
124,Topic 0,Relevance,lines,0.8669251406222556,0.75
125,Topic 0,Saliency,cancer,0.56971556,
126,Topic 0,Saliency,cell,0.54679877,
127,Topic 0,Saliency,tumor,0.24326086,
128,Topic 0,Saliency,samples,0.23806693,
129,Topic 0,Saliency,pathway,0.23382221,
130,Topic 0,Saliency,cells,0.20977879,
131,Topic 0,Saliency,pathways,0.18510284,
132,Topic 0,Saliency,sub,0.17265417,
133,Topic 0,Saliency,survival,0.14505605,
134,Topic 0,Saliency,types,0.1325132,
135,Topic 0,Saliency,tissue,0.11613839,
136,Topic 0,Saliency,differential,0.10982977,
137,Topic 0,Saliency,methyl,0.10838553,
138,Topic 0,Saliency,node,0.10538007,
139,Topic 0,Saliency,breast,0.10333352,
140,Topic 0,Saliency,mirna,0.102332845,
141,Topic 0,Saliency,enrichment,0.10078421,
142,Topic 0,Saliency,specific,0.10071798,
143,Topic 0,Saliency,patients,0.097744,
144,Topic 0,Saliency,tcg,0.09742361,
145,Topic 0,Saliency,graph,0.09510046,
146,Topic 0,Saliency,edges,0.092308745,
147,Topic 0,Saliency,ation,0.09027511,
148,Topic 0,Saliency,lines,0.088323586,
149,Topic 0,Saliency,module,0.085411996,
150,Topic 1,Probability,drug,0.03824698179960251,
151,Topic 1,Probability,disease,0.02228289656341076,
152,Topic 1,Probability,drugs,0.01408099103718996,
153,Topic 1,Probability,harm,0.013153735548257828,
154,Topic 1,Probability,knowledge,0.010352851822972298,
155,Topic 1,Probability,target,0.009941800497472286,
156,Topic 1,Probability,diseases,0.009062341414391994,
157,Topic 1,Probability,relationships,0.008584375493228436,
158,Topic 1,Probability,sources,0.006768102291971445,
159,Topic 1,Probability,clinical,0.006223220378160477,
160,Topic 1,Probability,meta,0.0055731856264173985,
161,Topic 1,Probability,human,0.005496711004525423,
162,Topic 1,Probability,information,0.0053915586322546005,
163,Topic 1,Probability,associations,0.004751083441078663,
164,Topic 1,Probability,targets,0.004598134197294712,
165,Topic 1,Probability,bio,0.0045885746367275715,
166,Topic 1,Probability,genomic,0.004397388081997633,
167,Topic 1,Probability,known,0.004148845560848713,
168,Topic 1,Probability,relationship,0.003995896317064762,
